squidpony.epigon.data.raw.RawWeapon	name																													
name	description	glyph:c	kind	usage	hands:i	type1	type2	group1	group2	shape	path	maneuver1	maneuver2	status1	status2	precision:i	damage:i	crit:i	influence:i	evasion:i	defense:i	luck:i	stealth:i	range:i	area:i	prepare:i		materials:s[,]	training:s[,]	culture:s[,]
Mbegonda style	The alliance of tribes from the Mbegonda region uses improvised weapons to make their unarmed combat interesting.	ɱ	Unarmed	Repeat	0	BLUNT	BLUNT	Brawling	Flowing	Multi	Straight	Chop	Yank	Sunder	Afflict	1	2	3	5	2	0	5	6	0	0	6	=SUM(Q76:X76)+AA76+2*SUM(Y76:Z76)		Martial Arts,Naturalism	Mbegonda
Ninjutsu style	The honor-bound empire of Otekai does not teach unarmed combat, but their ninja enemies rely on it heavily.	ɱ	Unarmed	Repeat	0	BLUNT	BLUNT	Flowing	Flowing	Multi	Straight	Blur	Lunge	Afflict	Slay	4	1	5	5	3	0	0	6	0	0	6	=SUM(Q77:X77)+AA77+2*SUM(Y77:Z77)		Martial Arts,Assassination	Ninja
Jalgeaux style	The aristocracy of Jalgeaux likes to use a flashy sort of unarmed combat that makes enemies overestimate a practitioner.	ɱ	Unarmed	Repeat	0	BLUNT	BLUNT	Flowing	Flowing	Multi	Straight	Parry	Heft	Slay	Confound	3	5	2	3	1	3	3	2	0	1	6	=SUM(Q78:X78)+AA78+2*SUM(Y78:Z78)		Martial Arts,Elegance	Jalgeaux
Ikkutiq style	The frozen lands of the Ikkutiq people are rich in magic, and their unarmed combat often seems like a ritual dance.	ɱ	Unarmed	Repeat	0	BLUNT	BLUNT	Flowing	Flowing	Multi	Straight	Seal	Sweep	Silence	Trip	4	1	1	6	1	0	4	5	0	1	6	=SUM(Q79:X79)+AA79+2*SUM(Y79:Z79)		Martial Arts,Elegance	Ikkutiq
Ugexiir style	The fiercely-self-ruled nation of Ugexiir teaches its people vigilance against all enemies, whether they are armed or not.	ɱ	Unarmed	Repeat	0	BLUNT	BLUNT	Brawling	Brawling	Multi	Straight	Blur	Brace	Disable	Disarm	3	3	2	2	2	4	2	6	0	0	6	=SUM(Q80:X80)+AA80+2*SUM(Y80:Z80)		Martial Arts,Foresight	Ugexiir
Hidzaajji style	The desert lands of Hidzaajji are home to a fighting style which emphasizes movement that flows like silk.	ɱ	Unarmed	Repeat	0	BLUNT	BLUNT	Flowing	Flowing	Multi	Straight	Blur	Sweep	Trip	Favor	3	1	5	2	5	0	3	5	0	0	6	=SUM(Q81:X81)+AA81+2*SUM(Y81:Z81)		Martial Arts,Whirling Death	Hidzaajji
Laathrik style	The Kobold nation of Laathrik teaches unarmed combat that consists almost exclusively of dirty tricks and low blows.	ɱ	Unarmed	Repeat	0	BLUNT	BLUNT	Brawling	Flowing	Multi	Straight	Yank	Hex	Bleed	Blind	2	1	4	4	6	0	1	6	0	0	6	=SUM(Q82:X82)+AA82+2*SUM(Y82:Z82)		Martial Arts,Assassination	Laathrik
Hueztotli style	The isolated land of Hueztotli practices a hard-hitting form of unarmed combat meant mainly for subduing monsters.	ɱ	Unarmed	Repeat	0	BLUNT	BLUNT	Brawling	Brawling	Multi	Straight	Heft	Lunge	Slay	Trip	1	6	2	2	2	1	4	6	0	0	6	=SUM(Q83:X83)+AA83+2*SUM(Y83:Z83)		Martial Arts,Brutality	Hueztotli
Keungeuh style	The merchant-ruled state called Keungeuh practices unarmed combat that exerts control over the enemy's movement.	ɱ	Unarmed	Repeat	0	BLUNT	BLUNT	Brawling	Flowing	Multi	Straight	Yank	Pin	Trip	Disarm	4	1	1	5	4	0	3	6	0	0	6	=SUM(Q84:X84)+AA84+2*SUM(Y84:Z84)		Martial Arts,Hurling	Keungeuh
Khainghal style	The steppe nomads of the Khainghal clan primarily use bows, but they practice unarmed combat with similar precision.	ɱ	Unarmed	Repeat	0	BLUNT	BLUNT	Brawling	Flowing	Multi	Straight	Thrust	Pin	Disable	Silence	6	3	5	2	1	0	1	6	0	0	6	=SUM(Q85:X85)+AA85+2*SUM(Y85:Z85)		Martial Arts,Marksmanship	Khainghal
Bididhayi style	The pious nation of Bididhayi teaches a "thunderbolt" school of unarmed combat that strikes quickly with grabs and throws.	ɱ	Unarmed	Repeat	0	BLUNT	BLUNT	Brawling	Flowing	Multi	Straight	Lunge	Pin	Confound	Favor	4	4	2	1	3	0	4	6	0	0	6	=SUM(Q86:X86)+AA86+2*SUM(Y86:Z86)		Martial Arts,Hurling	Bididhayi
Mobyuld style	The Goblin nation of Mobyuld teaches a sneaky style of unarmed combat based around striking pressure points.	ɱ	Unarmed	Repeat	0	BLUNT	BLUNT	Flowing	Flowing	Multi	Straight	Thrust	Condemn	Disable	Curse	6	1	5	6	0	0	0	6	0	0	6	=SUM(Q87:X87)+AA87+2*SUM(Y87:Z87)		Martial Arts,Marksmanship	Mobyuld
Chobesh style	The nation of Chobesh collapsed after a century of war, so what's left emphasizes making do with minimal equipment.	ɱ	Unarmed	Repeat	0	BLUNT	BLUNT	Brawling	Brawling	Multi	Straight	Yank	Brace	Disarm	Bleed	2	2	5	2	1	1	5	6	0	0	6	=SUM(Q88:X88)+AA88+2*SUM(Y88:Z88)		Martial Arts,Naturalism	Chobesh
Elethian style	The Elf nation of Elethian loves swordplay, and their unarmed combat similarly emphasizes balance and parrying.	ɱ	Unarmed	Repeat	0	BLUNT	BLUNT	Flowing	Flowing	Multi	Straight	Parry	Sweep	Disarm	Trip	5	2	1	3	5	0	2	6	0	0	6	=SUM(Q89:X89)+AA89+2*SUM(Y89:Z89)		Martial Arts,Swordplay	Elethian
Krort style	The Orc culture of Krort likes big, heavy weapons, but they like it even more when an Orc can hit hard without one.	ɱ	Unarmed	Repeat	0	BLUNT	BLUNT	Brawling	Brawling	Multi	Straight	Heft	Chop	Confound	Bleed	1	6	6	1	1	2	1	6	0	0	6	=SUM(Q90:X90)+AA90+2*SUM(Y90:Z90)		Martial Arts,Brutality	Krort
Fire magic	Fire magic is anything but subtle, emphasizing heavy damage across wide areas.	⚡	Magic	Repeat	0	FIRE	FIRE	Energy	Energy	Beam	Straight	Sweep	Exorcise	Slay	Sizzle	1	8	0	1	2	0	0	4	3	3	2	=SUM(Q91:X91)+AA91+2*SUM(Y91:Z91)		Sorcery,Brutality	Mobyuld,Chobesh
Earth magic	Earth magic is mainly defensive, using barriers of dirt and blocking stones mixed in between blows with rocks.	⚡	Magic	Repeat	0	EARTH	EARTH	Energy	Energy	Wave	Straight	Pound	Seal	Trip	Confound	2	6	0	2	1	5	1	4	3	1	1	=SUM(Q92:X92)+AA92+2*SUM(Y92:Z92)		Sorcery,Foresight	Otekai,Krort
Water magic	Water magic utilizes various unpleasant compounds swirled in with otherwise-harmless fluid to cause all sorts of trouble.	⚡	Magic	Repeat	0	WATER	WATER	Energy	Energy	Wave	Straight	Blur	Exorcise	Trip	Afflict	4	1	0	5	3	0	2	4	3	2	1	=SUM(Q93:X93)+AA93+2*SUM(Y93:Z93)		Sorcery,Whirling Death	Elethian,Cheuritae
Air magic	Air magic uses long-ranged, precise strikes with pieces of debris picked up on the wind.	⚡	Magic	Repeat	0	AIR	AIR	Energy	Energy	Beam	Arc	Blur	Reveal	Disable	Confound	4	0	2	1	4	0	1	4	5	0	4	=SUM(Q94:X94)+AA94+2*SUM(Y94:Z94)		Sorcery,Marksmanship	Khainghal,Ugexiir
Crystal magic	Crystal magic allows creating both beautifully shimmering defensive barriers and deadly slicing shards of gems.	⚡	Magic	Repeat	0	CRYSTAL	CRYSTAL	Energy	Energy	Multi	Arc	Shine	Ricochet	Blind	Sever	3	5	5	2	0	4	3	0	3	1	0	=SUM(Q95:X95)+AA95+2*SUM(Y95:Z95)		Sorcery,Swordplay	Keungeuh,Jalgeaux
Sound magic	Sound magic doesn't do much damage, but it can confuse huge swaths of foes at once.	⚡	Magic	Repeat	0	SOUND	SOUND	Energy	Energy	Wave	Straight	Sweep	Blur	Confound	Afflict	2	1	0	6	1	0	1	5	3	3	2	=SUM(Q96:X96)+AA96+2*SUM(Y96:Z96)		Sorcery,Hurling	Mbegonda,Hyrden
Ice magic	Ice magic delivers prolonged suffering by freezing foes in place and chilling them to the bone.	⚡	Magic	Repeat	0	ICE	ICE	Energy	Energy	Wave	Straight	Pin	Seal	Disable	Sizzle	5	2	0	6	1	2	0	4	3	1	2	=SUM(Q97:X97)+AA97+2*SUM(Y97:Z97)		Sorcery,Assassination	Zedmedov,Ikkutiq
Lightning magic	Lightning magic strikes suddenly with potent but inaccurate thunderbolts.	⚡	Magic	Repeat	0	LIGHTNING	LIGHTNING	Energy	Energy	Beam	Straight	Ricochet	Yank	Sizzle	Energize	0	5	0	2	2	0	0	4	4	2	5	=SUM(Q98:X98)+AA98+2*SUM(Y98:Z98)		Sorcery,Hurling	Bididhayi,Hidzaajji
Poison magic	Poison magic is usually studied in lawless places, where the cruel death it delivers is already commonplace.	⚡	Magic	Repeat	0	POISON	POISON	Energy	Energy	Burst	Arc	Condemn	Seal	Afflict	Slay	2	3	6	6	0	0	0	6	3	0	1	=SUM(Q99:X99)+AA99+2*SUM(Y99:Z99)		Sorcery,Assassination	Ninja,Mobyuld
Acid magic	Acid magic is considered marginally less dishonorable than Poison magic because it also has practical uses in etching.	⚡	Magic	Repeat	0	ACID	ACID	Energy	Energy	Wave	Straight	Heave	Sweep	Sunder	Sizzle	3	4	2	6	0	0	0	4	3	2	1	=SUM(Q100:X100)+AA100+2*SUM(Y100:Z100)		Sorcery,Hurling	Laathrik,Hueztotli
Caustic magic	Caustic magic is exceptionally rare, and though it mainly finds industrial uses, some mages can wield it in battle.	⚡	Magic	Repeat	0	CAUSTIC	CAUSTIC	Energy	Energy	Wave	Straight	Exorcise	Reveal	Afflict	Blind	4	0	0	6	2	1	0	4	4	1	3	=SUM(Q101:X101)+AA101+2*SUM(Y101:Z101)		Sorcery,Swordplay	Keungeuh,Ninja
Disease magic	Disease magic revolves just as much around curing illnesses as causing them because it backfires so often.	⚡	Magic	Repeat	0	DISEASE	DISEASE	Energy	Energy	Multi	Arc	Ricochet	Condemn	Afflict	Regenerate	3	1	0	6	4	0	0	6	4	0	2	=SUM(Q102:X102)+AA102+2*SUM(Y102:Z102)		Sorcery,Naturalism	Mbegonda,Chobesh
Death magic	Death magic is reviled by most of the world because it has no practical applications other than overt warfare or murder.	⚡	Magic	Repeat	0	DEATH	DEATH	Energy	Energy	Multi	Straight	Condemn	Hex	Slay	Sizzle	4	9	4	1	0	0	0	4	4	0	0	=SUM(Q103:X103)+AA103+2*SUM(Y103:Z103)		Sorcery,Brutality	Krort,Ninja
Life magic	Life magic can be used offensively by moving vitality around in opponents, potentially weakening or even killing them.	⚡	Magic	Repeat	0	LIFE	LIFE	Energy	Energy	Multi	Straight	Exorcise	Weave	Regenerate	Bleed	5	1	3	6	0	0	3	4	4	0	0	=SUM(Q104:X104)+AA104+2*SUM(Y104:Z104)		Sorcery,Foresight	Elethian,Bididhayi
Shining magic	Shining magic can wreak havoc on wide areas with laser-like beams of searing light.	⚡	Magic	Repeat	0	SHINING	SHINING	Energy	Energy	Beam	Straight	Exorcise	Reveal	Blind	Sizzle	6	1	2	2	0	0	1	0	6	2	2	=SUM(Q105:X105)+AA105+2*SUM(Y105:Z105)		Sorcery,Marksmanship	Hyrden,Hidzaajji
Shadow magic	Shadow magic is frequently used by thieves because of how effortlessly it lets them sneak past guards.	⚡	Magic	Repeat	0	SHADOW	SHADOW	Energy	Energy	Burst	Arc	Sweep	Hex	Blind	Curse	3	1	0	6	6	0	0	6	2	1	2	=SUM(Q106:X106)+AA106+2*SUM(Y106:Z106)		Sorcery,Assassination	Laathrik,Khainghal
Temporal magic	Temporal magic manipulates time in minor ways to cause significant headaches for enemies.	⚡	Magic	Repeat	0	TEMPORAL	TEMPORAL	Energy	Energy	Through	Straight	Blur	Pin	Confound	Trip	4	0	0	6	4	0	0	4	3	0	6	=SUM(Q107:X107)+AA107+2*SUM(Y107:Z107)		Sorcery,Whirling Death	Cheuritae,Ikkutiq
Fateful magic	Fateful magic seeks to alter enemies' fortunes while simultaneously improving the user's odds.	⚡	Magic	Repeat	0	FATEFUL	FATEFUL	Energy	Energy	Through	Straight	Condemn	Hex	Favor	Curse	2	0	2	6	3	0	6	4	3	0	1	=SUM(Q108:X108)+AA108+2*SUM(Y108:Z108)		Sorcery,Foresight	Jalgeaux,Hueztotli
Pure magic	Pure magic is meant to drive away despoilers of nature, especially undead, but almost any foe is "impure" in some way.	⚡	Magic	Repeat	0	PURE	PURE	Energy	Energy	Through	Straight	Exorcise	Seal	Slay	Silence	3	2	0	6	1	0	6	4	3	0	2	=SUM(Q109:X109)+AA109+2*SUM(Y109:Z109)		Sorcery,Naturalism	Zedmedov,Otekai
Primal magic	Primal magic draws on nature's power to strike foes in unpredictable ways, from creating sinkholes to dropping trees.	⚡	Magic	Repeat	0	PRIMAL	PRIMAL	Energy	Energy	Burst	Arc	Pin	Reveal	Trip	Sunder	1	5	0	1	2	2	4	4	3	2	1	=SUM(Q110:X110)+AA110+2*SUM(Y110:Z110)		Sorcery,Naturalism	Mbegonda,Ugexiir
Contractual magic	Contractual magic uses the power of laws, both laws written by people and laws that define the cosmos, to disable foes.	⚡	Magic	Repeat	0	CONTRACTUAL	CONTRACTUAL	Energy	Energy	Through	Straight	Reveal	Seal	Disable	Confound	6	0	0	6	0	4	2	0	4	0	4	=SUM(Q111:X111)+AA111+2*SUM(Y111:Z111)		Sorcery,Elegance	Otekai,Keungeuh
Sinister magic	Sinister magic steals strength from terrible demons, then redirects the fiendish punishment for that theft onto others.	⚡	Magic	Repeat	0	SINISTER	SINISTER	Energy	Energy	Burst	Straight	Condemn	Ricochet	Slay	Curse	1	9	0	2	4	0	0	4	2	2	2	=SUM(Q112:X112)+AA112+2*SUM(Y112:Z112)		Sorcery,Swordplay	Mobyuld,Hueztotli
Divine magic	Divine magic channels the power of a god to unleash awesome vengeance on heretics.	⚡	Magic	Repeat	0	DIVINE	DIVINE	Energy	Energy	Burst	Arc	Exorcise	Shine	Sizzle	Regenerate	2	6	0	3	0	3	4	0	3	2	2	=SUM(Q113:X113)+AA113+2*SUM(Y113:Z113)		Sorcery,Elegance	Bididhayi,Hyrden
Gravity magic	Gravity magic is tricky and can be an excellent way to immobilize an enemy.	⚡	Magic	Repeat	0	GRAVITY	GRAVITY	Energy	Energy	Burst	Straight	Pin	Yank	Trip	Disarm	3	1	0	5	3	0	2	4	3	2	2	=SUM(Q114:X114)+AA114+2*SUM(Y114:Z114)		Sorcery,Whirling Death	Jalgeaux,Hidzaajji
Vacuous magic	Vacuous magic deals with a peculiar subject: regions that contain no other elements, such as the void of space.	⚡	Magic	Repeat	0	VACUOUS	VACUOUS	Energy	Energy	Burst	Arc	Yank	Reveal	Silence	Disarm	1	4	0	4	2	0	0	4	3	3	3	=SUM(Q115:X115)+AA115+2*SUM(Y115:Z115)		Sorcery,Assassination	Chobesh,Cheuritae
Warp magic	Warp magic is a skill in high demand from criminals and police alike, since it can move objects or people instantly.	⚡	Magic	Repeat	0	WARP	WARP	Energy	Energy	Through	Straight	Yank	Seal	Disarm	Confound	2	1	0	3	6	0	2	6	5	0	0	=SUM(Q116:X116)+AA116+2*SUM(Y116:Z116)		Sorcery,Whirling Death	Ugexiir,Ikkutiq
Radiation magic	Radiation magic isn't well-understood by common folk, and its users are generally feared for the illnesses that follow them.	⚡	Magic	Repeat	0	RADIATION	RADIATION	Energy	Energy	Beam	Straight	Shine	Exorcise	Sizzle	Afflict	4	6	0	5	0	0	0	4	4	1	1	=SUM(Q117:X117)+AA117+2*SUM(Y117:Z117)		Sorcery,Marksmanship	Zedmedov,Khainghal
